Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,1309
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,1282
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,3500
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,2999
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,2326
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,1617
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,2003
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,3203
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,2117
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,2449
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,3091
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,1914
2024-01-01,1,Ciutat Vella,1,el Raval,5,1013,1471
2024-01-01,1,Ciutat Vella,1,el Raval,6,1014,1786
2024-01-01,1,Ciutat Vella,1,el Raval,6,1015,2334
2024-01-01,1,Ciutat Vella,1,el Raval,6,1016,2089
2024-01-01,1,Ciutat Vella,1,el Raval,6,1017,2523
2024-01-01,1,Ciutat Vella,1,el Raval,7,1018,1550
2024-01-01,1,Ciutat Vella,1,el Raval,7,1019,2827
2024-01-01,1,Ciutat Vella,1,el Raval,7,1020,2325
2024-01-01,1,Ciutat Vella,1,el Raval,8,1021,2219
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1749
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2040
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1377
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,13115
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1522
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1939
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1449
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2484
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1547
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1735
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1088
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,972
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1187
2024-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1191
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1284
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1461
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1310
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1080
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1475
2024-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1743
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1637
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1462
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1971
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1860
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1743
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2097
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1521
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1604
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1763
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2396
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1848
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1274
2024-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1297
2024-01-01,2,Eixample,5,el Fort Pienc,20,2001,1351
2024-01-01,2,Eixample,5,el Fort Pienc,20,2002,6059
2024-01-01,2,Eixample,5,el Fort Pienc,20,2003,1180
2024-01-01,2,Eixample,5,el Fort Pienc,20,2004,1494
2024-01-01,2,Eixample,5,el Fort Pienc,20,2005,2051
2024-01-01,2,Eixample,5,el Fort Pienc,20,2006,1661
2024-01-01,2,Eixample,5,el Fort Pienc,20,2007,1209
2024-01-01,2,Eixample,5,el Fort Pienc,20,2008,1945
2024-01-01,2,Eixample,5,el Fort Pienc,20,2009,1794
2024-01-01,2,Eixample,5,el Fort Pienc,21,2010,1235
2024-01-01,2,Eixample,5,el Fort Pienc,21,2011,1145
2024-01-01,2,Eixample,5,el Fort Pienc,21,2012,1604
2024-01-01,2,Eixample,5,el Fort Pienc,21,2013,1163
2024-01-01,2,Eixample,5,el Fort Pienc,22,2014,1371
2024-01-01,2,Eixample,5,el Fort Pienc,22,2015,1608
2024-01-01,2,Eixample,5,el Fort Pienc,22,2016,1861
2024-01-01,2,Eixample,5,el Fort Pienc,22,2017,1950
2024-01-01,2,Eixample,5,el Fort Pienc,22,2018,1863
2024-01-01,2,Eixample,5,el Fort Pienc,22,2019,1969
2024-01-01,2,Eixample,5,el Fort Pienc,22,2020,1606
2024-01-01,2,Eixample,6,la Sagrada Família,23,2021,1529
2024-01-01,2,Eixample,6,la Sagrada Família,23,2022,1345
2024-01-01,2,Eixample,6,la Sagrada Família,23,2023,1033
2024-01-01,2,Eixample,6,la Sagrada Família,23,2024,1175
2024-01-01,2,Eixample,6,la Sagrada Família,24,2025,1134
2024-01-01,2,Eixample,6,la Sagrada Família,24,2026,2074
2024-01-01,2,Eixample,6,la Sagrada Família,24,2027,2143
2024-01-01,2,Eixample,6,la Sagrada Família,24,2028,2073
2024-01-01,2,Eixample,6,la Sagrada Família,24,2029,1246
2024-01-01,2,Eixample,6,la Sagrada Família,24,2030,1413
2024-01-01,2,Eixample,6,la Sagrada Família,24,2031,1036
2024-01-01,2,Eixample,6,la Sagrada Família,24,2032,1223
2024-01-01,2,Eixample,6,la Sagrada Família,25,2033,1177
2024-01-01,2,Eixample,6,la Sagrada Família,25,2034,1211
2024-01-01,2,Eixample,6,la Sagrada Família,25,2035,1339
2024-01-01,2,Eixample,6,la Sagrada Família,25,2036,1215
2024-01-01,2,Eixample,6,la Sagrada Família,25,2037,1144
2024-01-01,2,Eixample,6,la Sagrada Família,25,2038,1528
2024-01-01,2,Eixample,6,la Sagrada Família,25,2039,1876
2024-01-01,2,Eixample,6,la Sagrada Família,25,2040,1783
2024-01-01,2,Eixample,6,la Sagrada Família,26,2041,1693
2024-01-01,2,Eixample,6,la Sagrada Família,26,2042,1708
2024-01-01,2,Eixample,6,la Sagrada Família,26,2043,1514
2024-01-01,2,Eixample,6,la Sagrada Família,26,2044,1326
2024-01-01,2,Eixample,6,la Sagrada Família,26,2045,1169
2024-01-01,2,Eixample,6,la Sagrada Família,26,2046,2002
2024-01-01,2,Eixample,6,la Sagrada Família,26,2047,1991
2024-01-01,2,Eixample,6,la Sagrada Família,26,2048,1311
2024-01-01,2,Eixample,6,la Sagrada Família,27,2049,2087
2024-01-01,2,Eixample,6,la Sagrada Família,27,2050,1686
2024-01-01,2,Eixample,6,la Sagrada Família,27,2051,1926
2024-01-01,2,Eixample,6,la Sagrada Família,27,2052,1824
2024-01-01,2,Eixample,6,la Sagrada Família,27,2053,1899
2024-01-01,2,Eixample,6,la Sagrada Família,27,2054,1992
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2055,1837
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2056,1540
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2057,1254
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2058,1449
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2059,1736
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2060,1683
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2061,1384
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2062,1579
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2063,1226
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2064,1298
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2065,1817
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2066,1757
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2067,1715
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2068,1696
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2069,1417
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2070,1269
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2071,1634
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2072,1249
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2073,1695
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2074,1291
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2075,1213
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2076,1671
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,33,2077,1810
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2078,1428
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2079,1487
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2080,1606
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2081,2170
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2082,1002
2024-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2083,1974
2024-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2084,2116
2024-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2085,1487
2024-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2086,1408
2024-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,1414
2024-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,1689
2024-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,1876
